id	Fu	Ag	Ex	Re	Vi
0	10.297439300806039	6.557872546801289	13.607790512691356	11.416632403147608	3.4752694480807094
1	1.751936730709789	7.121553694799971	17.22674277450264	3.0088277883475643	12.996610318527466
2	6.416644589661738	6.408483014050616	13.889651013639012	13.52649529916472	0.6782201762120246
3	11.78269573757941	7.675971006076994	13.238369326948625	10.339329654482205	5.532774230584455
4	2.3132719949831775	1.5453263660668173	14.63758120165143	12.658993378874532	7.223150192132399
5	6.385165463479368	9.703125196755138	2.6830650804300147	12.505501887058545	17.20436489708558
6	0.7313022533552518	17.09531763209078	4.19428865604418	1.4443542783681609	17.945657083131323
7	9.870193621119558	8.982867341025738	7.2523879077788695	14.121759440572992	6.8802113508923135
8	6.277848675080064	5.569828766174287	6.708847644873227	9.66948851847159	9.78233413155806
9	3.193384271562503	9.260312106959708	8.307703436463285	11.626573777795935	8.760881762108907
10	12.188381756452403	11.468002865423433	5.209632211146444	4.207169049977553	11.382367125988026
